Rider,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
MEDEREL Maxime,0,1,1,110,110,115,115,939,2057,2057,2455,2455,3340,3340,4024
KWIATKOWSKI Michal,0,1,1,1,1,6,6,325,325,325,444,444,444,444,758
GUTIERREZ Jos Ivan,0,1244,2110,2129,2129,2134,3627,10541
VANDE VELDE Christian,0,1,1,17,1025,1543
DENNIS Rohan,0,906,1732,1944,2952,3510,3857,11734
HESJEDAL Ryder,0,1,1,17,17,22,22,829,2608,2748,3238,3622,4849,5129,11905
VOIGT Jens,0,539,1405,1433,1433,1438,1438,3742,4519,4519,5043,5043,5928,5642,12418
TROFIMOV Yury,0,1,503,530,530,535,535,2743,4522,4702,5050,5050,5952,5952,11108
BOASSON HAGEN Edvald,0,1,1,3,3,3,3,2857,5457,5457,5812,5812
VAN POPPEL Danny,0,1735,2650,2805,2805,2805,4258,11405,14005,14005,14401,14401,15303,15303,22039
VANMARCKE Sep,0,1244,2159,2422,3430,4140,5633,12537,14316,14604,15105,15105,15239,15544,22320
IZAGUIRRE INSAUSTI Gorka,0,1,1,124,124,129,1622,4526,11126,11306,11817,11817,12702,12702,15938
GESCHKE Simon,0,1735,1735,1921,1921,1953,2017,3846,10109,10259,10732,11032,11934,11217,13209
BOOKWALTER Brent,0,539,539,604,1347,1527,1527,3306,5529,5529,10023,10323,11208,11208,13204
GASPAROTTO Enrico,0,1,341,436,436,830,830,3724,4842,5022,5439,5439,10324,10324,12244
KUCHYNSKI Aliaksandr,0,1735,2601,2808,3816,3845,5338,12232,14238,14238,14706,14706,14811,14811,21547
MALORI Adriano,0,1735,2650,2714,3722,4240
TANKINK Bram,0,1,1,37,37,42,42,1821,3700,3700,4124,4124,4124,4124,5452
PEREZ MORENO Ruben,0,1735,2650,2913,2913,2918,4411,11305,13905,13905,14434,14434,15512,15512,22748
KREUZIGER Roman,0,1,1,9,9,14,14,151,151,151,357,357,248,248,428
TOSATTO Matteo,0,1,827,852,852,932,932,3836,5842,10022,10357,10357,10341,10341,13040
HENDERSON Gregory,0,1735,2650,2730,2730,2730,4223,11330,13930,13930,14418,14418,15645,15645,22921
LOSADA ALGUACIL Alberto,0,1,614,1124,1124,1642,1642,3850,5856,5856,10356,10356,10356,10356,13344
MATE MARDONES Luis Angel,0,1244,2110,2229,3126,3644,5137,10123,12346,12526,12958,12958,13843,13843,14729
LEMOINE Cyril,0,539,539,648,648,648,2141,5045,11645,11645,12005,12005,12850,12850,14810
SAGAN Peter,0,1,1,34,34,34,34,2938,5201,5201,5407,5407,5258,5258,12126
BRUTT Pavel,0,539,919,946,946,951,2444,5338,11344,11344,11647,11647,11753,11036,14312
ROLLAND Pierre,0,1,1,113,113,118,118,457,1234,1234,1638,1638,2533,2533,3412
LEEZER Thomas,0,1735,2601,2735,2735,3313,4806,11710,14310,14450,15122,15422,15547,15852,22840
BODNAR Maciej,0,906,1821,1854,1854,2219,2249,5256,11856,11856,12105,12105,12015,12015,15003
EVANS Cadel,0,1,1,26,26,31,31,436,436,436,654,654,654,654,1540
MARTIN Tony,0,1735,1735,1735,1735,1740,3233,5537,12029,12029,12017,12017,12045,12045,14821
GENE Yohann,0,1735,2601,2713,3721,4239,5732,12636,15128,15128,15615,15615,20525,20525,23341
WESTRA Lieuwe,0,1735,2601,2633,3641,4219,5712,12606,15206,15829,20054,20054,20952,20952,22912
WYNANTS Maarten,0,1244,1857,2032,2032,2037,3530,10434,12657,12657,13101,13101,13101,13101,15837
GAUTIER Cyril,0,1,503,747,747,752,752,2807,3141,3141,3502,3502,4347,3630,5420
VORGANOV Eduard,0,1,1,28,28,33,33,840,1958,1958,2346,2346,3248,3248,4255
KENNAUGH Peter,0,1,916,918,918,1436,1600,2701,4924,5551,10039,10440,11354,11354,12632
CHAVANEL Sylvain,0,1,1,1,1,6,6,748,1435,1435,1600,1600,1457,1457,3026
SERPA Jos,0,1,1,25,25,124,134,620,954,954,1216,1216,2101,2101,3302
MALACARNE Davide,0,1,1,113,113,118,118,740,1427,1427,1757,1757,2642,2642,5418
NIEVE ITURRALDE Mikel,0,1,1,124,124,129,129,255,255,255,804,804,1649,1649,1812
BOUET Maxime,0,1,1,104,104
ZUBELDIA Haimar,0,1,1,29,29,34,34,330,2553,2553,2957,2957,3842,3842,4728
NOVAL GONZALEZ Benjamin,0,1735,2601,3031,4039,4437,5930,12834
ANTON Igor,0,1,1,124,124,129,129,306,640,640,1048,1048,1943,1943,2350
GILBERT Philippe,0,1,1,26,26,31,31,2925,5148,5148,5431,5431,10316,10316,11202
SMUKULIS Gatis,0,539,1454,1521,1521,1526,3019,5323,11546,11546,11814,12114,12959,12959,20235
